"sku","name","category","category_label","unit","price","image","hero_image","story","badge","hover_image"
"SZ-02","#2 PET Sushi Container with Lid 8.7""×3.4""×2","sushi-containers-trays","Sushi Containers & Trays","400 PCS","45.00","/assets/catalog/item-088.png","","","",""
"SZ-03","#3 PET Sushi Container with Lid 6.5""×4.5""×2","sushi-containers-trays","Sushi Containers & Trays","400 PCS","44.00","/assets/catalog/item-089.png","","","",""
"SZ-05","#5 PET Sushi Container with Lid 7.3""×5""×2","sushi-containers-trays","Sushi Containers & Trays","400 PCS","55.00","/assets/catalog/item-090.png","","","",""
"SZ-07","#7 PET Sushi Container with Lid 8.5""×5.4""×2","sushi-containers-trays","Sushi Containers & Trays","400 PCS","68.00","/assets/catalog/item-091.png","","","",""
"SZ-09","#9 PET Sushi Container with Lid 9.4""×5.7""×2","sushi-containers-trays","Sushi Containers & Trays","400 PCS","78.00","/assets/catalog/item-092.png","","","",""
"SZ-64","SZ-64 Round Sushi Tray with Lid 13.7""x2.1""","sushi-containers-trays","Sushi Containers & Trays","100 PCS","78.00","/assets/catalog/item-093.png","","","",""
"0.75oz","0.75 oz Clear Portion Cup","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","17.00","/assets/catalog/item-094.png","","","",""
"1oz","1 oz Clear Portion Cup","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","18.00","/assets/catalog/item-095.png","","","",""
"1.5oz","1.5 oz Clear Portion Cup","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","22.00","/assets/catalog/item-096.png","","","",""
"2oz","2 oz Clear Portion Cup","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","23.00","/assets/catalog/item-097.png","","","",""
"3.25oz","3.25 oz Clear Portion Cup","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","34.00","/assets/catalog/item-098.png","","","",""
"4oz","4 oz Clear Portion Cup","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","39.00","/assets/catalog/item-099.png","","","",""
"5oz","5.5 oz Clear Portion Cup","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","42.00","/assets/catalog/item-100.png","","","",""
"0.75-1oz fit lids","0.75 oz/1 oz Clear Portion Cup Lid","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","13.00","/assets/catalog/item-101.png","","","",""
"1.5-2oz fit lids","1.5 oz/2 oz Clear Portion Cup Lid","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","20.00","/assets/catalog/item-102.png","","","",""
"3.25-5.5o z fit lids","3.25 oz/4/5.5 oz Clear Portion Cup Lid","cups-lids-carriers","Cups, Lids & Carriers","2500 PCS","27.00","/assets/catalog/item-103.png","","","",""
"7 oz-78m m","7 oz Clear PET Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","30.00","/assets/catalog/item-104.png","","","",""
"9 oz-90m m","9 oz Clear PET Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","40.00","/assets/catalog/item-105.png","","","",""
"9 oz-98m m","9 oz Clear PET Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","40.00","/assets/catalog/item-106.png","","","",""
"12 OZ-98m m","12 oz Clear PET Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","43.00","/assets/catalog/item-107.png","","","",""
"16 OZ-98m m","16 oz Clear PET Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","49.00","/assets/catalog/item-108.png","","","",""
"20 OZ-98m m","20 oz Clear PET Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","59.00","/assets/catalog/item-109.png","","","",""
"24 OZ-98m m","24 oz Clear PET Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","62.00","/assets/catalog/item-110.png","","","",""
"32 oz- 107mmCUP","32 oz Clear PET Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","51.00","/assets/catalog/item-111.png","","","",""
"90FLAT","90mm Flat No Hole Lid","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","19.00","/assets/catalog/item-112.png","","","",""
"98FLAT","12-24 oz Clear Lids","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","20.00","/assets/catalog/item-113.png","","","",""
"JS-98H","12-24 oz Dome Clear Lids","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","20.00","/assets/catalog/item-114.png","","","",""
"PETWDOME","98mm Wide Hole Dome Lid","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","27.00","/assets/catalog/item-115.png","","","",""
"PETSIP","98mm Sip Lid","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","28.00","/assets/catalog/item-116.png","","","",""
"PETSIPO","98mm Open Sip Lid","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","28.00","/assets/catalog/item-117.png","","","",""
"32 OZ- 107mmLID","32 oz Clear Lids","cups-lids-carriers","Cups, Lids & Carriers","500 PCS","15.00","/assets/catalog/item-118.png","","","",""
